Country,Good
Afghanistan,Bricks
Argentina,Garments
Bangladesh,Dried Fish
Benin,Cotton
Bolivia,Brazil Nuts / Chestnuts
Boliva,Sugarcane
Burkina Faso,Cotton
Burkina Faso,Gold
Burma,Bamboo
Burma,Beans
Burma,Bricks
Burma,Rice
Burma,Rubber
Burma,Sugarcane
Burma,Teak
China,Bricks
China,Cotton
China,Electronics
China,Toys
Colombia,Coca
Cote D'Ivoire,Cocoa
Cote D'Ivoire,Coffee
Democratic Republic of the Congo,Cassiterite (tin ore)
Democratic Republic of the Congo,Coltan (tantalum ore)
Democratic Republic of the Congo,Gold
Democratic Republic of the Congo,Wolframite (tungsten ore)
Ethiopia,Textiles
Ghana,Fish (Including Talapia)
India ,Bricks
India ,Cottonseed (Hybrid)
India ,Embellished Textiles
India ,Garments
India ,Rice
India ,Stones
Malawi ,Tobacco
Mali,Rice
Nepal,Bricks
Nepal,Carpets
Nepal,Embellished Textiles
Nepal,Stones
Nigeria,Cocoa
Nigeria,Granite
Nigeria,Gravel
Pakistan,Bricks
Pakistan,Carpets
Pakistan,Coal
Russia,Pornography
Sierra Leone,Diamonds
South Sudan,Cattle
Tajikstan,Cotton
Thailand,Garments
Thailand,Shrimp
Uzbekistan,Cotton
Vietnam,Garments
